Artist,Title,Section,Lyrics,Sentiment,Subjectivity,Tempo,Key,Loudness,Mode
Kanye West,Monster,[Intro: Justin Vernon],"I shoot the lights out
Hide 'til it's bright out
Oh, just another lonely night
Are you willing to sacrifice your life?",5 stars,0.4033617675304413,124.887,2,-5.64,1
Kanye West,Monster,[Verse 1: Rick Ross],"Bitch, I'm a monster, no-good bloodsucker
Fat motherfucker, now look who's in trouble
As you run through my jungles, all you hear is rumbles
Kanye West samples, here's one for example",1 star,0.4594592750072479,124.887,2,-5.64,1
Kanye West,Monster,[Chorus: Kanye West],"Gossip, gossip, nigga, just stop it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands at the concert
Profit, profit, nigga, I got it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands",1 star,0.7660443186759949,124.887,2,-5.64,1
Kanye West,Monster,[Verse 2: Kanye West],"Uh, the best living or dead hands down, huh
Less talk, more head right now, huh
And my eyes more red than the devil is
And I'm 'bout to take it to another level, bitch
Matter who you go and get, ain't nobody cold as this
Do the rap and the track, triple-double, no assists
And my only focus is stayin' on some bogus shit
Arguin' with my older bitch, actin' like I owe her shit
I heard the beat, the same raps that gave the track pain
Bought the chain that always give me back pain
Fucking up my money so, yeah, I had to act sane
Chi nigga, but these hoes love my accent
Chick came up to me and said, ""This the number to dial
If you wanna make your number one your number two now""
Mix that Goose and Malibu, I call it ""Malibooyah""
Goddamn, Yeezy always hit 'em with a new style
Know that motherfucker, well, what you gon' do now?
Whatever I wanna do, gosh, it's cool now
Know I'm gonna do, ah, it's the new now
Think you motherfuckers really really need to cool out
'Cause you'll never get on top of this
So, mami, best advice is just to get on top of this
Have you ever had sex with a pharaoh?
Ah, put the pussy in a sarcophagus
Now she claiming that I bruised her esophagus
Head of the class and she just won a swallowship
I'm livin' in the future so the present is my past
My presence is a present, kiss my ass
[Chorus: Kanye West & 
Jay Z
]
Gossip, gossip, nigga, just stop it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands at the concert (
Yeah
)
Profit, profit, nigga, I got it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands",1 star,0.5528663396835327,124.887,2,-5.64,1
Kanye West,Monster,[Verse 3: Jay Z],"Sasquatch, Godzilla, King Kong, Loch Ness
Goblin, ghoul, a zombie with no conscience
Question, what do these things all have in common?
Everybody knows I'm a motherfuckin' monster
Conquer, stomp ya, stop your silly nonsense
Nonsense, none of you niggas know where the swamp is
None of you niggas have seen the carnage that I've seen
I still hear fiends scream in my dreams
Murder, murder in black convertibles, I
Kill a block, I murder the avenues, I
Rape and pillage your village, women and children
Everybody want to know what my Achilles heel is
Love, I don't get enough of it
All I get is these vampires and bloodsuckers
All I see is these niggas I made millionaires
Millin' about, spillin' they feelings in the air
All I see is these fake fucks with no fangs
Tryna draw blood from my ice-cold veins
I smell a massacre
Seems to be the only way to back you bastards up",1 star,0.6570537090301514,124.887,2,-5.64,1
Kanye West,Monster,[Verse 4: Nicki Minaj],"Pull up in the monster, automobile gangsta
With a bad bitch that came from Sri Lanka
Yeah, I'm in that Tonka, color of Willy Wonka
You could be the king, but watch the queen conquer
Okay, first things first, I'll eat your brains
Then I'ma start rocking gold teeth and fangs
'Cause that's what a motherfuckin' monster do
Hair dresser from Milan, that's the monster 'do
Monster Giuseppe heel, that's the monster shoe
Young Money is the roster and a monster crew
And I'm all up, all up, all up in the bank with the funny face
And if I'm fake, I ain't notice 'cause my money ain't
So let me get this straight, wait, I'm the rookie?
But my features and my shows ten times your pay?
50K for a verse, no album out
Yeah, my money's so tall that my Barbies got to climb it
Hotter than a Middle Eastern climate, violent
Tony Matterhorn, dutty wine it, wine it
Nicki on them titties when I sign it
That's how these niggas so one-track-minded
But really, really I don't give an F-U-C-K
""Forget Barbie, fuck Nicki, sh-she's fake""
""She on a diet,"" but my pockets eatin' cheesecake
And I'll say, bride of Chucky, it's child's play
Just killed another career, it's a mild day
Besides, Ye, they can't stand besides me
I think me, you, and Am' should ménage Friday
Pink wig, thick ass, give 'em whiplash
I think big, get cash, make 'em blink fast
Now look at what you just saw, this is what you live for
Ah, I'm a motherfuckin' monster
[Outro: Justin Vernon & 
Charlie Wilson
]
I, I crossed the limelight
And I'll, I'll let God decide
And I, I wouldn't last these shows
So I, I am headed home (
Headed home
)
I, I crossed the limelight
And I'll, I'll let God decide, 'cide (
No
)
And I, I wouldn't last these shows
So I, I am headed home (
Head home
)
I, I crossed the limelight (
No, the limelight
)
And I'll, I'll let God decide, 'cide
And I, I wouldn't last these shows
So I, I am headed home",1 star,0.7668949365615845,124.887,2,-5.64,1
Kanye West,Monster,"[Produced by Kanye West, Mike Dean & Plain Pat]",,Neutral,0.0,124.887,2,-5.64,1
Kanye West,Monster,[Video directed by Jake Nava],,Neutral,0.0,124.887,2,-5.64,1
almost monday,sunburn,[Chorus],"The days we spent were temporary
But you'll always be that sunburn on me (Sunburn on me)
An ice cold shower can't help, baby
'Cause you're always gonna be that sunburn on me, yeah",1 star,0.5328752994537354,111.98,4,-4.544,1
almost monday,sunburn,[Verse 1],"California (Yeah, yeah)
Heat waves on ya (Yeah, yeah)
Think we knew that it would go there
Catching magic out of thin air
Warmer weather (Yeah, oh)
Nothing better
'Til we stumble into nightfall
And you end it with a phone call
Why'd I give you my everything
Just to watch us spiral down the drain?
What if time doеsn't heal a damn thing?
And nothing, nothing's gonna wash it away",1 star,0.5048300623893738,111.98,4,-4.544,1
almost monday,sunburn,[Verse 2],"Aloe vera over my skin (Ouch)
Took you to places that you never been (You never been there)
Why you gotta say goodbye? (Don't say, yeah)
Windows are down on the highway
But you never going my way (Uh)
Burn up in flames like the Fourth of July",1 star,0.6568469405174255,111.98,4,-4.544,1
almost monday,sunburn,[Post-Chorus],"Sunburn on me
Ah, ah, got that sunburn on me
Ah, ah, got that sunburn on me
Ah, ah, got that sunburn on me
Ah, ah",1 star,0.336373507976532,111.98,4,-4.544,1
almost monday,sunburn,[Bridge],"Why'd I give you my everything
Just to watch us spiral down the drain?
What if doesn't heal a damn thing?
And nothing, nothing's gonna wash it away, yeah, yeah",1 star,0.6761879920959473,111.98,4,-4.544,1
Wallows,At the End of the Day,[Verse 1: Braeden Lemasters],"Please lay your head here on my shoulder
The night is young but we're still getting older
Can you see ourselves in love like this forever?
Or are you afraid that's too much pressure?",3 stars,0.23072725534439087,117.29,9,-5.168,1
Wallows,At the End of the Day,[Chorus: Braeden Lemasters],"'Cause at the end of the day
I'm not far away, I'm staying
A face in the crowd
When you're not around that's fading
If you wanted I would never call you
Never think about you or never let you go
But at the end of the day
Are we on our way to breaking?",1 star,0.8227335810661316,117.29,9,-5.168,1
Wallows,At the End of the Day,[Verse 2: Braeden Lemasters],"There's a place you used to take me almost twice a week
And at first you made me nervous I could hardly speak
I don't really think about it anymore
Is that a problem or just something to ignore?
Time on my hands
Falling like sand
Just take it back if you need an escape plan",1 star,0.6694265604019165,117.29,9,-5.168,1
Wallows,At the End of the Day,[Bridge: Braeden Lemasters],"Please, just see
That you are not alone, you are not alone
I'll never let you go unless you want me to
Your words could never be criminal
Mine aren't subliminal
Hope you know
That if it's day or night, if it's day or night
When I look in your eyes, forever sounds alright
Don't blame yourself if they look away
Why fuck with fate?",1 star,0.8103309273719788,117.29,9,-5.168,1
Dua Lipa,Physical,[Verse 1],"Common love isn't for us
We created something phenomenal
Don't you agree?
Don't you agree?
You got me feeling diamond rich
Nothing on this planet compares to it
Don't you agree?
Don't you agree?",5 stars,0.4976803958415985,146.967,0,-3.756,1
Dua Lipa,Physical,[Pre-Chorus],Who needs to go to sleep when I got you next to me?,1 star,0.31757816672325134,146.967,0,-3.756,1
Dua Lipa,Physical,[Chorus],"All night, I'll riot with you
I know you got my back and you know I got you
So come on, come on, come on
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical (Physical, physical)",1 star,0.593064546585083,146.967,0,-3.756,1
